,rank,rmse,alpha,fit_intercept,normalize,tol,solver
0,1.0,0.4882514571636242,5.0,True,False,0.0889,auto
1,2.0,0.4882711917198363,0.5,True,False,0.033400000000000006,svd
2,3.0,0.4882805960466032,0.01,True,False,0.0112,auto
3,3.0,0.4882805960466032,0.01,True,False,0.07780000000000001,cholesky
4,5.0,0.48837951203568986,0.05,True,True,0.0001,lsqr
5,6.0,0.4883809790174974,0.05,True,True,0.055600000000000004,svd
6,7.0,0.4884351605549449,0.01,True,True,0.0223,sparse_cg
7,8.0,0.48847225458732635,50.0,True,False,0.0889,cholesky
8,8.0,0.48847225458732635,50.0,True,False,0.0001,cholesky
9,8.0,0.48847225458732635,50.0,True,False,0.033400000000000006,cholesky
10,11.0,0.4885644056516462,0.1,True,True,0.055600000000000004,svd
11,11.0,0.4885644056516462,0.1,True,True,0.0889,svd
12,11.0,0.4885644056516462,0.1,True,True,0.07780000000000001,cholesky
13,14.0,0.4886170516817614,0.1,True,True,0.055600000000000004,sag
14,15.0,0.4889962467004779,100.0,True,False,0.055600000000000004,sag
15,16.0,0.4906416431148135,0.5,True,True,0.044500000000000005,auto
16,16.0,0.4906416431148135,0.5,True,True,0.07780000000000001,auto
17,18.0,0.49077164808876905,0.5,True,True,0.0223,sparse_cg
18,19.0,0.49117741901465184,0.05,True,False,0.055600000000000004,sparse_cg
19,20.0,0.4922155457526939,0.05,True,False,0.06670000000000001,sparse_cg
20,21.0,0.4926158424198097,100.0,True,False,0.07780000000000001,sparse_cg
21,22.0,0.5093121683759985,5.0,True,True,0.0112,auto
22,23.0,0.5184360302633336,0.5,False,True,0.07780000000000001,auto
23,23.0,0.5184360302633336,0.5,False,False,0.0001,cholesky
24,25.0,0.5184375272823111,0.1,False,False,0.044500000000000005,svd
25,25.0,0.5184375272823111,0.1,False,True,0.06670000000000001,svd
26,27.0,0.5184375272823113,0.1,False,False,0.1,cholesky
27,28.0,0.5184380026702271,0.05,False,False,0.0223,cholesky
28,28.0,0.5184380026702271,0.05,False,True,0.1,auto
29,30.0,0.5184384355874668,0.01,False,False,0.06670000000000001,svd
30,31.0,0.5184384355874669,0.01,False,False,0.055600000000000004,cholesky
31,31.0,0.5184384355874669,0.01,False,False,0.0223,cholesky
32,33.0,0.5184387508184488,1.0,False,False,0.07780000000000001,cholesky
33,33.0,0.5184387508184488,1.0,False,True,0.033400000000000006,cholesky
34,35.0,0.5185445249592261,5.0,False,False,0.06670000000000001,svd
35,36.0,0.5185445249592263,5.0,False,True,0.0112,auto
36,36.0,0.5185445249592263,5.0,False,False,0.033400000000000006,cholesky
37,38.0,0.5198061713491086,50.0,False,True,0.1,cholesky
38,38.0,0.5198061713491086,50.0,False,False,0.055600000000000004,auto
39,40.0,0.5203026864840932,50.0,False,False,0.0001,lsqr
40,41.0,0.5207406080562115,10.0,False,False,0.0001,sparse_cg
41,42.0,0.52133469572803,0.05,False,False,0.055600000000000004,sag
42,43.0,0.5378278098502097,100.0,True,True,0.07780000000000001,cholesky
43,43.0,0.5378278098502097,100.0,True,True,0.0112,svd
44,45.0,0.5378301701465484,100.0,True,True,0.0889,sag
45,46.0,0.5424212878025803,0.01,False,False,0.1,sag
46,47.0,0.7729616205870993,50.0,False,True,0.055600000000000004,lsqr
47,47.0,0.7729616205870993,50.0,False,False,0.07780000000000001,lsqr
48,49.0,0.9193745953388855,100.0,False,False,0.055600000000000004,sparse_cg
49,50.0,0.9193749140403167,10.0,False,True,0.0889,sparse_cg
